,有無酒駕,有無駕照,有無肇事逃逸,有無減速,有無超速,有無精神疾病,有無證據,有無過失傷害,有無過失致死,是否累犯,是否自首,是否使用藥物,車輛類型
7474,0,0,1,1,0,0,1,1,0,0,1,0,0
5476,1,0,0,1,0,0,1,1,0,0,1,0,3
10650,1,0,1,1,0,0,1,1,0,1,1,1,3
8414,1,1,0,1,0,0,1,1,1,0,1,0,3
1019,0,1,1,1,0,0,1,1,1,0,1,0,0
5204,0,0,1,1,1,0,1,1,1,0,1,0,3
15618,0,1,0,1,0,0,1,1,1,0,1,1,0
14908,0,0,1,1,0,0,1,1,0,0,1,0,0
7351,0,1,1,1,0,0,1,1,0,0,1,1,3
10280,1,0,1,1,0,0,1,1,0,0,1,1,0
12699,0,1,1,1,1,0,1,1,1,0,1,1,3
2111,1,0,1,1,0,0,1,0,0,0,1,0,3
4193,1,0,1,1,0,0,1,0,0,1,1,1,1
2516,1,0,1,1,0,0,1,0,0,1,1,1,3
10812,0,1,1,1,0,0,1,1,1,0,1,1,0
4831,1,0,1,1,0,0,1,0,0,0,1,1,3
10400,1,0,1,1,0,0,1,1,0,0,1,1,3
14348,0,0,1,1,0,0,1,1,0,0,1,0,3
1775,1,0,1,1,0,0,1,1,0,1,1,1,3
7473,1,0,1,1,0,0,1,1,0,0,0,1,2
4000,0,0,1,1,0,0,1,1,0,0,1,0,3
9543,1,0,1,1,0,0,1,0,0,1,1,0,2
16145,1,0,1,1,0,0,1,1,0,0,1,1,0
2353,0,0,1,1,0,0,1,1,1,0,1,0,2
7836,1,0,0,1,0,0,1,1,0,0,1,0,3
8238,1,0,1,1,0,0,1,1,0,0,1,1,3
1865,1,0,1,1,0,0,1,1,0,0,1,1,2
4244,0,0,1,0,0,0,1,1,0,0,1,0,3
12530,0,0,1,1,0,0,1,1,1,0,1,0,0
10580,1,0,1,1,0,0,1,1,0,1,1,1,3
11331,1,0,1,1,0,0,1,1,0,0,1,1,1
8583,0,0,1,1,0,0,1,1,0,0,1,0,0
6307,1,1,1,1,0,0,1,0,0,1,1,0,3
9460,1,0,1,1,0,0,1,1,0,0,1,1,0
8223,1,0,1,1,0,0,1,1,0,1,1,1,3
16419,1,0,1,1,0,0,1,0,0,0,0,0,2
3041,0,0,1,1,0,0,1,1,0,0,1,0,0
13564,1,0,1,1,0,0,1,1,0,1,1,1,3
48,1,1,1,1,0,0,1,1,0,0,1,1,3
13589,0,0,1,1,0,0,1,1,0,0,1,0,0
7649,1,0,0,1,0,0,1,1,0,0,1,0,0
4150,0,0,1,0,0,0,1,1,0,0,1,0,3
12841,0,1,1,1,0,0,1,1,0,0,1,0,0
8988,1,0,1,1,0,0,1,1,0,0,1,1,2
5661,1,0,0,1,0,0,1,1,0,1,0,0,0
4290,0,0,1,1,0,0,1,1,0,0,1,0,0
11052,1,0,1,1,0,0,1,1,0,0,1,1,3
11386,1,0,1,1,0,0,1,1,0,1,1,1,3
14710,0,0,1,1,1,0,1,1,0,0,1,0,4
11702,0,1,1,1,0,0,1,1,0,0,1,1,3
5543,0,0,1,1,0,0,1,1,0,0,1,0,3
10106,1,0,1,1,0,0,1,1,0,0,1,1,3
6765,1,0,1,1,0,0,1,1,0,0,1,1,2
5400,1,1,1,1,0,0,1,1,0,0,1,1,3
1803,0,0,1,1,0,0,1,1,0,0,1,0,0
15397,1,0,1,1,0,0,1,1,0,0,1,1,2
7839,0,1,0,1,0,0,1,1,1,0,1,1,0
13237,1,0,1,1,0,0,1,0,0,0,1,0,0
1646,0,1,1,1,0,0,1,1,0,0,1,1,3
18925,1,0,1,1,0,0,0,1,0,0,1,0,3
1,0,0,1,1,0,0,1,1,1,0,1,0,1
17271,1,0,1,1,0,0,1,1,0,1,1,1,2
6691,1,0,1,1,0,0,1,1,0,0,1,0,2
15199,1,0,1,1,0,0,1,1,0,0,0,1,0
4990,1,0,1,1,0,0,1,0,0,1,1,1,3
14821,0,1,1,1,0,0,1,1,0,0,1,0,2
1855,1,0,1,1,0,0,1,0,0,0,1,0,2
14321,0,0,1,0,0,0,1,1,0,0,1,0,3
3639,1,0,1,1,0,0,1,0,0,0,1,1,1
2279,0,1,1,1,0,0,1,1,1,0,1,1,1
12051,1,0,1,1,0,0,1,1,0,0,1,1,3
18489,0,0,0,1,0,0,1,1,0,0,0,0,0
9169,1,0,1,1,0,0,1,1,0,0,1,1,2
17112,0,0,1,1,0,0,1,1,0,0,1,0,2
3853,1,0,1,1,0,0,1,1,0,0,1,1,0
1969,1,0,0,1,0,0,1,1,0,0,1,0,2
2696,1,0,0,1,0,0,1,1,0,0,1,0,0
8769,0,0,1,1,0,0,1,1,0,0,1,0,3
15034,1,0,1,1,0,0,1,1,0,0,1,0,0
17905,1,0,1,1,0,0,1,0,0,0,1,0,0
6002,1,0,1,1,0,0,1,1,0,1,1,1,0
12772,1,0,1,1,0,0,1,1,0,0,1,1,2
2903,1,0,1,1,0,0,1,1,0,0,1,1,4
7635,1,0,1,1,0,0,1,1,0,1,1,1,3
11127,1,0,1,1,0,0,1,1,0,0,1,1,2
11714,1,0,0,1,0,0,1,1,0,0,1,0,3
11612,0,1,1,1,0,0,1,1,0,0,1,1,3
7109,1,0,1,1,0,0,1,1,0,1,1,1,3
1612,0,1,1,1,0,0,1,1,1,0,1,1,0
3145,1,0,1,1,0,0,1,0,0,0,1,1,3
7,1,0,1,1,0,0,1,1,0,0,1,1,3
3893,1,1,0,1,0,0,1,1,0,0,1,1,0
13124,1,0,1,1,0,0,1,1,0,0,1,1,2
2639,1,1,1,1,0,0,1,1,1,1,1,1,3
9687,1,1,1,1,0,0,1,1,0,1,1,1,3
6366,1,1,1,1,0,0,1,1,0,1,1,1,1
15465,1,0,1,1,0,0,1,1,0,1,1,1,1
1980,1,0,1,1,0,0,1,1,0,1,1,1,3
6428,1,0,1,1,0,0,1,1,0,1,0,1,0
15681,1,0,1,1,0,0,1,1,0,1,1,1,3
3929,0,0,1,1,0,0,1,1,0,0,1,0,0
1123,0,0,1,1,0,0,1,1,0,0,1,0,2
9861,1,0,1,1,0,0,1,0,0,1,1,1,2
11046,1,1,0,1,0,0,1,1,1,1,1,1,0
11883,1,1,1,1,0,0,1,1,0,1,1,1,0
5677,0,0,1,1,0,0,1,1,0,0,1,0,0
16680,1,0,1,1,0,0,1,1,0,0,1,1,1
17883,0,1,0,1,0,0,1,1,0,0,1,1,3
17242,1,1,1,1,0,0,1,1,0,1,1,1,2
10102,1,0,0,1,0,0,1,1,0,0,1,0,0
10198,0,0,1,1,0,0,1,1,0,0,1,0,0
2094,0,0,1,1,0,0,1,0,0,0,0,0,0
17055,1,1,1,1,0,0,1,1,0,0,1,1,0
12082,1,0,1,1,0,0,1,1,0,0,1,0,0
9785,0,1,1,1,0,0,1,1,0,0,1,0,0
16159,0,0,1,1,0,0,1,1,0,0,1,0,0
17068,1,0,1,1,0,0,1,1,0,0,1,1,2
18239,0,0,1,1,0,0,0,1,0,0,0,0,0
8566,1,0,1,1,0,0,1,1,0,0,1,1,2
399,1,0,1,1,0,0,1,1,0,1,1,1,2
13192,1,0,1,1,0,0,1,1,0,0,1,1,0
12741,0,0,1,1,0,0,1,1,0,0,1,0,0
16736,1,0,1,1,0,0,1,1,0,0,1,1,0
8069,1,1,0,1,0,0,1,1,0,0,1,1,3
10904,0,0,1,1,0,0,1,1,0,0,1,0,3
10016,1,0,1,1,0,0,1,1,0,1,1,1,3
3829,1,0,1,1,0,0,1,1,0,0,1,1,0
11136,0,1,0,1,1,0,1,1,1,0,1,1,0
8472,1,1,1,1,1,0,1,1,0,1,1,1,0
11285,1,0,1,1,0,0,1,1,0,1,1,1,2
12021,0,0,1,1,0,0,1,1,1,0,1,0,1
5973,1,0,1,1,0,0,1,1,0,0,1,1,2
4855,1,0,0,1,0,0,1,1,0,0,1,0,3
15609,1,0,1,1,0,0,1,1,0,1,0,1,0
10353,1,1,0,1,0,0,1,1,0,0,1,1,3
5602,1,0,1,1,0,0,1,1,0,1,1,1,3
5566,0,0,1,1,0,0,1,0,0,1,0,0,0
7169,1,0,1,1,0,0,1,1,0,0,1,0,0
13289,1,0,1,1,0,0,1,1,0,0,1,1,3
15280,1,0,1,1,0,0,1,1,0,0,1,1,2
4770,1,0,1,1,0,0,1,1,0,0,1,1,2
13086,0,0,1,1,0,0,1,1,0,0,1,0,2
8543,0,1,1,1,1,0,1,1,1,0,1,0,3
5215,0,0,1,1,0,0,1,1,1,0,1,0,5
6998,1,0,1,1,0,0,1,1,0,0,1,1,2
77,1,0,1,1,0,0,1,1,0,0,1,1,3
18732,0,0,1,1,0,0,0,1,0,0,1,0,3
3799,0,0,1,1,0,0,1,1,0,0,1,0,0
2172,1,0,1,1,0,0,1,0,0,0,1,0,3
10008,1,0,1,1,0,0,1,0,0,0,1,1,2
4264,1,0,1,1,0,0,1,1,0,0,1,1,2
10837,1,0,1,1,0,0,1,1,0,1,1,1,0
17058,0,1,1,1,0,0,1,1,1,0,1,1,2
15389,0,0,1,1,0,0,1,1,1,0,1,0,3
4667,0,0,1,1,0,0,1,1,0,0,1,0,3
9630,1,0,1,1,0,0,1,0,0,1,1,0,2
17413,1,0,1,1,0,0,1,1,0,0,1,1,3
4238,0,1,1,1,0,0,1,1,0,0,1,1,3
1446,0,0,1,1,0,0,1,1,1,0,1,0,0
14789,1,0,1,1,0,0,1,1,0,0,1,0,0
11696,1,0,1,1,0,0,1,1,0,1,1,0,0
1909,0,0,1,1,0,0,1,1,0,0,1,0,3
11941,1,0,1,1,0,0,1,1,0,1,1,1,3
220,0,0,1,1,1,0,1,1,1,0,1,0,0
15230,0,0,1,1,0,0,1,1,1,0,1,0,3
13551,0,0,1,1,0,0,1,1,0,0,1,0,3
9996,1,1,1,1,0,0,1,1,0,1,1,1,3
13011,0,0,1,1,0,0,1,1,1,0,1,0,0
10454,0,1,1,1,0,0,1,1,0,0,1,1,3
14013,1,0,1,1,0,0,1,1,0,0,1,1,0
15953,1,0,1,1,0,0,1,1,0,0,1,1,0
11902,1,0,1,1,0,0,1,1,0,0,1,1,0
9303,1,0,1,1,0,0,1,1,0,1,0,1,3
15463,0,0,1,1,0,0,1,1,0,0,1,1,2
7619,1,0,1,1,0,0,1,1,0,0,1,1,3
908,1,0,1,1,0,0,1,1,0,0,1,0,3
15610,1,1,0,1,0,0,1,1,0,0,0,0,1
13266,0,0,1,1,0,0,1,1,0,0,1,0,3
8986,1,0,1,1,0,0,1,1,0,1,1,1,0
2750,1,0,1,1,0,0,1,0,0,1,1,0,3
15751,1,0,1,1,0,0,1,1,0,0,1,1,3
12818,0,0,1,1,0,0,1,1,0,0,1,0,3
0,1,0,1,1,0,0,1,1,0,0,1,1,3
244,0,0,1,0,0,0,1,1,0,0,1,0,0
12537,1,1,1,1,0,0,1,1,0,1,1,1,2
16382,1,0,0,1,1,0,1,1,0,1,1,0,2
197,1,0,1,1,0,0,1,1,0,0,1,1,0
18797,0,0,1,1,0,0,0,1,0,0,1,0,0
1254,1,0,1,1,0,0,1,0,0,1,1,0,3
7451,1,0,1,1,0,0,1,1,0,0,1,1,4
4906,1,0,1,1,0,0,1,0,0,0,1,1,2
16424,0,0,1,1,0,0,1,1,0,0,1,0,0
8084,0,0,1,1,0,0,1,1,0,0,1,0,3
6667,1,0,1,1,0,0,1,1,0,0,1,1,3
987,1,0,1,1,0,0,1,0,0,0,1,0,1
17350,1,0,1,1,0,0,1,1,0,0,1,1,2
2107,1,0,1,1,0,0,1,0,0,1,1,0,3
18291,1,0,0,1,0,0,0,1,0,0,1,0,0
14981,0,0,1,1,0,0,1,1,1,0,1,0,0
11397,1,1,0,1,0,0,1,1,1,0,1,1,2
2010,0,1,0,1,0,0,1,1,1,0,1,1,3
3514,0,0,1,1,0,0,1,1,1,0,1,0,3
9424,0,0,1,1,0,0,1,0,1,0,1,0,0
7194,0,1,0,1,0,0,1,1,0,0,1,1,0
15409,1,0,1,1,0,0,1,1,0,1,1,0,0
3232,1,0,1,1,0,0,1,1,0,0,1,1,2
8621,1,0,0,1,0,0,1,1,1,0,1,0,1
1055,1,1,1,0,0,0,1,1,1,1,1,1,0
15404,0,0,1,1,0,0,1,1,0,0,1,0,0
14556,0,0,1,1,0,0,1,1,0,0,1,0,0
5281,1,0,1,1,0,0,1,0,0,0,1,1,2
6422,1,0,1,1,0,0,1,1,0,1,1,1,2
6635,1,0,1,1,0,0,1,1,0,0,1,1,0
8659,0,0,1,1,0,0,1,1,0,0,1,0,3
3629,1,0,1,1,0,0,1,0,0,0,1,1,3
7720,1,0,0,1,0,0,1,1,0,0,1,0,3
15906,0,0,1,1,0,0,1,1,0,0,1,0,0
4144,0,0,1,1,0,0,1,1,1,0,1,0,2
1283,0,0,1,1,0,0,1,1,1,0,1,0,0
14457,0,0,1,1,0,0,1,1,1,0,1,0,1
3355,1,0,1,1,0,0,1,1,0,1,1,0,3
1503,1,0,1,1,0,0,1,1,0,1,1,1,3
